strategy,total_trades,winning_trades,losing_trades,win_rate,total_points,total_pnl,points_per_day,avg_win,avg_loss,expectancy,profit_factor,trading_days,years_covered,best_trade,worst_trade,avg_trade_duration
Champion,2509,657,1852,26.19,4903.08,79247.83,3.36,56.1,-17.25,1.95,1.15,1460,2020-2025,142.32,-72.36,39.0
Stable,914,398,516,43.54,2995.61,53056.1,3.72,91.98,-65.14,3.28,1.09,805,2020-2025,196.62,-123.28,185.0
Balanced,2300,545,1755,23.7,4428.31,71318.13,3.04,89.37,-25.23,1.93,1.1,1459,2020-2025,136.04,-82.36,70.0
